#Latest: Time (s),#Latest: Temperature (°C),#Latest: Potential (V)
2080.5,42.18583285,5.007743835
2081,42.17771099,5.006599426
2081.5,42.16309385,5.006217957
2082,42.15335066,5.006217957
2082.5,42.1419852,5.006599426
2083,42.13549142,5.005264282
2083.5,42.11763642,5.005264282
2084,42.11114473,4.963874817
2084.5,42.10303092,4.893493652
2085,42.09005062,4.778289795
2085.5,42.08842824,4.652404785
2086,42.06734046,4.490661621
2086.5,42.08193906,4.35256958
2087,42.07382838,4.182434082
2087.5,42.05760962,4.016685486
2088,42.04625855,3.836631775
2088.5,42.03977299,3.649330139
2089,42.03166682,3.416442871
2089.5,42.03490919,3.155708313
2090,42.01869876,2.971458435
2090.5,42.01869876,2.803993225
2091,42.0138363,2.626800537
2091.5,42.00735351,2.458381653
2092,42.00087128,2.30178833
2092.5,42.00411233,2.156066895
2093,41.99925081,2.041244507
2093.5,41.99925081,1.942443848
2094,41.99925081,1.830291748
2094.5,41.99925081,1.76410675
2095,42.00087128,1.741981506
2095.5,42.00411233,1.725959778
2096,42.00411233,1.721382141
2096.5,42.01059484,1.746559143
2097,42.00735351,1.772880554
2097.5,42.0170779,1.809692383
2098,42.0138363,1.905250549
2098.5,42.00735351,2.024650574
2099,42.02031964,2.112388611
2099.5,42.0284246,2.247238159
2100,42.02194057,2.395248413
2100.5,42.0284246,2.553939819
2101,42.03166682,2.716827393
2101.5,42.03166682,2.896499634
2102,42.0284246,3.071403503
2102.5,42.02518251,3.248214722
2103,42.0170779,3.426933289
2103.5,42.02031964,3.608703613
2104,42.02031964,3.80859375
2104.5,42.0138363,4.009056091
2105,42.01059484,4.219818115
2105.5,42.00411233,4.371833801
2106,41.99600997,4.519081116
2106.5,41.99600997,4.630088806
2107,41.9895287,4.783821106
2107.5,41.98628828,4.878044128
2108,41.98304799,4.948425293
2108.5,41.97170807,4.998779297
2109,41.97170807,5.005264282
2109.5,41.95713066,5.006599426
2110,41.95713066,5.006599426
2110.5,41.94741393,5.005455017
2111,41.93284117,5.005455017
2111.5,41.9279842,5.005836487
2112,41.92150873,5.005264282
2112.5,41.91179654,4.960441589
2113,41.91179654,4.874229431
2113.5,41.90694091,4.784965515
2114,41.90694091,4.646110535
2114.5,41.90046722,4.515838623
2115,41.89723059,4.316520691
2115.5,41.88590343,4.18548584
2116,41.87619577,3.958129883
2116.5,41.868107,3.733062744
2117,41.86487173,3.570747375
2117.5,41.85031471,3.37600708
2118,41.84546299,3.155136108
2118.5,41.83090966,2.951812744
2119,41.82120898,2.75478363
2119.5,41.80989307,2.597808838
2120,41.79534649,2.355384827
2120.5,41.78080267,2.230072021
2121,41.76141519,2.081871033
2121.5,41.75010808,1.946640015
2122,41.7242695,1.861572266
2122.5,41.70328203,1.788330078
2123,41.69036951,1.741409302
2123.5,41.67100476,1.726341248
2124,41.65325801,1.738548279
2124.5,41.64035384,1.779937744
2125,41.62906445,1.844406128
2125.5,41.61132731,1.963806152
